platform,city,product_name,category,price,original_price,discount_percentage,in_stock,scraped_date
Blinkit,Delhi,Amul Gold Full Cream Milk,milk,72.0,72.0,0.0,True,2026-06-08
Blinkit,Delhi,Amul Taaza Toned Milk,milk,30.0,30.0,0.0,True,2026-06-08
Blinkit,Delhi,Mother Dairy Toned Milk,milk,72.0,72.0,0.0,True,2026-06-08
Blinkit,Delhi,Amul Gold Full Cream Milk,milk,72.0,72.0,0.0,True,2026-06-05
Blinkit,Delhi,Mother Dairy Toned Toned Milk,milk,62.0,62.0,0.0,True,2026-06-08
Blinkit,Delhi,Amul Taaza Toned Milk,milk,30.0,30.0,0.0,True,2026-06-05
Blinkit,Delhi,Mother Dairy Full Cream Milk,milk,26.0,26.0,0.0,True,2026-06-08
Blinkit,Delhi,Mother Dairy Toned Milk,milk,72.0,72.0,0.0,True,2026-06-05
Blinkit,Delhi,Amul Cow Milk,milk,83.0,83.0,0.0,True,2026-06-08
Blinkit,Delhi,Mother Dairy Toned Toned Milk,milk,62.0,62.0,0.0,True,2026-06-05
Blinkit,Delhi,Mother Dairy Cow Milk,milk,34.0,34.0,0.0,True,2026-06-08
Blinkit,Delhi,Mother Dairy Full Cream Milk,milk,26.0,26.0,0.0,True,2026-06-05
Blinkit,Delhi,Amul Taaza Homogenised Toned Milk,milk,104.0,104.0,0.0,True,2026-06-08
Blinkit,Delhi,Amul Cow Milk,milk,83.0,83.0,0.0,True,2026-06-05
Blinkit,Delhi,Amul Lactose Free Milk,milk,78.0,78.0,0.0,True,2026-06-08
Blinkit,Delhi,Mother Dairy Cow Milk,milk,34.0,34.0,0.0,True,2026-06-05
Blinkit,Delhi,Mother Dairy Double Toned Milk,milk,85.0,85.0,0.0,True,2026-06-08
Blinkit,Delhi,Amul Taaza Homogenised Toned Milk,milk,77.0,77.0,0.0,True,2026-06-05
Blinkit,Delhi,Amul Gold Milk,milk,61.0,61.0,0.0,True,2026-06-08
Blinkit,Delhi,Amul Lactose Free Milk,milk,78.0,78.0,0.0,True,2026-06-05
Blinkit,Delhi,Amul Buffalo A2 Milk,milk,93.0,93.0,0.0,True,2026-06-08
Blinkit,Delhi,Mother Dairy Double Toned Milk,milk,55.0,55.0,0.0,True,2026-06-05
Blinkit,Delhi,Amul Taaza Toned Milk - Pack of 2,milk,85.0,85.0,0.0,True,2026-06-08
Blinkit,Delhi,Amul Gold Milk,milk,61.0,61.0,0.0,True,2026-06-05
Blinkit,Delhi,Nestle a+ Toned Milk,milk,25.0,25.0,0.0,True,2026-06-08
Blinkit,Delhi,Amul Buffalo A2 Milk,milk,93.0,93.0,0.0,True,2026-06-05
